Employee_Name,EmpID,MarriedID,GenderID,EmpStatusID,DeptID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,DOB,Sex,MaritalDesc
"Burke, Joelle",10107,0,0,1,5,0,63763,0,20,Production Technician II,MA,03-02-80,F,Single
"Burkett, Benjamin ",10181,1,1,1,5,0,62162,0,20,Production Technician II,MA,08/19/77,M ,Married
"Cady, Max ",10150,0,1,1,4,0,77692,0,25,Software Engineering Manager,MA,11/22/66,M ,Single
"Candie, Calvin",10001,0,1,1,5,0,72640,0,18,Production Manager,MA,08-09-83,M ,Single
"Carabbio, Judith",10085,0,0,1,4,0,93396,0,24,Software Engineer,MA,04-05-87,F,Single
"Carey, Michael  ",10115,0,1,1,5,0,52846,0,19,Production Technician I,MA,02-02-83,M ,Single
"Carr, Claudia  N",10082,0,0,2,3,0,100031,0,27,Sr. DBA,MA,06-06-86,F,Single
"Carter, Michelle ",10040,0,0,1,6,0,71860,0,3,Area Sales Manager,VT,05/15/63,F,Single
"Chace, Beatrice ",10067,0,0,1,5,0,61656,0,19,Production Technician I,MA,01-02-51,F,Single
"Champaigne, Brian",10108,1,1,1,3,0,110929,0,5,BI Director,MA,02-09-72,M ,Married
"Chan, Lin",10210,0,0,1,5,0,54237,0,19,Production Technician I,MA,02-12-79,F,Single
"Chang, Donovan  E",10154,0,1,1,5,0,60380,0,19,Production Technician I,MA,08/24/83,M ,Single
"Chigurh, Anton",10200,0,1,1,6,0,66808,0,3,Area Sales Manager,TX,06-11-70,M ,Single
"Chivukula, Enola",10240,0,0,5,5,0,64786,1,19,Production Technician I,MA,08/27/83,F,Single
"Cierpiszewski, Caroline  ",10168,0,0,1,5,0,64816,0,19,Production Technician I,MA,05/31/88,F,Single
"Clayton, Rick",10220,0,1,1,3,0,68678,0,14,IT Support,MA,09-05-85,M ,Single
"Cloninger, Jennifer",10275,1,0,5,5,0,64066,1,20,Production Technician II,MA,08/31/81,F,Married
"Close, Phil",10269,1,1,5,5,0,59369,1,20,Production Technician II,MA,11/25/78,M ,Married
"Clukey, Elijian",10029,1,1,2,5,0,50373,0,19,Production Technician I,MA,08/26/80,M ,Married
"Cockel, James",10261,0,1,1,5,0,63108,0,19,Production Technician I,MA,09-08-77,M ,Single
"Cole, Spencer",10292,0,1,4,5,0,59144,1,19,Production Technician I,MA,08-12-79,M ,Single
"Corleone, Michael",10282,0,1,1,5,0,68051,0,18,Production Manager,MA,12/17/75,M ,Divorced
"Corleone, Vito",10019,0,1,1,5,0,170500,0,10,Director of Operations,MA,03/19/83,M ,Single
"Cornett, Lisa ",10094,1,0,1,5,0,63381,0,19,Production Technician I,MA,03/31/77,F,Married
"Costello, Frank",10193,1,1,1,3,0,83552,0,9,Data Analyst,MA,08/26/86,M ,Married
"Crimmings,   Jean",10132,0,0,2,5,0,56149,0,19,Production Technician I,MA,04-10-87,F,Single
"Cross, Noah",10083,0,1,1,3,0,92329,0,28,Sr. Network Engineer,CT,09-09-65,M ,Single
"Daneault, Lynn",10099,0,0,1,6,0,65729,0,21,Sales Manager,VT,04/19/90,F,Single
"Daniele, Ann  ",10212,1,0,3,3,0,85028,0,28,Sr. Network Engineer,CT,01/18/52,F,Married
"Darson, Jene'ya ",10056,1,0,1,5,0,57583,0,19,Production Technician I,MA,11-05-78,F,Married
"Davis, Daniel",10143,0,1,1,5,0,56294,0,20,Production Technician II,MA,09/14/79,M ,Single
"Dee, Randy",10311,1,1,1,6,0,56991,0,19,Production Technician I,MA,04/15/88,M ,Married
"DeGweck,  James",10070,1,1,5,5,0,55722,1,19,Production Technician I,MA,10/31/77,M ,Married
"Del Bosque, Keyla",10155,0,0,1,4,0,101199,0,24,Software Engineer,MA,07-05-79,F,Single
"Delarge, Alex",10306,0,1,1,6,0,61568,0,3,Area Sales Manager,AL,11-02-75,M ,Single
"Demita, Carla",10100,0,0,5,5,0,58275,1,20,Production Technician II,MA,02/25/51,F,Separated
"Desimone, Carl ",10310,1,1,1,5,0,53189,0,19,Production Technician I,MA,04/19/67,M ,Married
"DeVito, Tommy",10197,0,1,1,3,0,96820,0,4,BI Developer,MA,09-04-83,M ,Single
"Dickinson, Geoff ",10276,0,1,1,5,0,51259,0,19,Production Technician I,MA,11/15/82,M ,Single
"Dietrich, Jenna  ",10304,0,0,1,6,0,59231,0,3,Area Sales Manager,WA,05/14/87,F,Single
"DiNocco, Lily ",10284,1,0,1,5,0,61584,0,19,Production Technician I,MA,12-02-78,F,Married
"Dobrin, Denisa  S",10207,0,0,1,5,0,46335,0,19,Production Technician I,MA,10-07-86,F,Single
"Dolan, Linda",10133,1,0,1,3,0,70621,0,14,IT Support,MA,07/18/88,F,Married
"Dougall, Eric",10028,0,1,1,3,0,138888,0,13,IT Manager - Support,MA,07-09-70,M ,Single
"Driver, Elle",10006,0,0,1,6,0,74241,0,3,Area Sales Manager,CA,11-08-88,F,Single
"Dunn, Amy  ",10105,0,0,1,5,0,75188,0,18,Production Manager,MA,11/28/73,F,Single
"Dunne, Amy",10211,1,0,1,5,0,62514,0,19,Production Technician I,MA,09/23/73,F,Married
"Eaton, Marianne",10064,1,0,5,5,0,60070,1,19,Production Technician I,MA,09-05-91,F,Married
"Engdahl, Jean",10247,0,1,1,5,0,48888,0,19,Production Technician I,MA,05/31/74,M ,Single
"England, Rex",10235,1,1,1,5,0,54285,0,19,Production Technician I,MA,08/25/78,M ,Married
"Erilus, Angela",10299,0,0,1,5,0,56847,0,20,Production Technician II,MA,08/25/89,F,Separated
"Estremera, Miguel",10280,0,1,4,5,0,60340,1,19,Production Technician I,MA,09-02-83,M ,Single
"Evensen, April",10296,0,0,4,5,0,59124,1,19,Production Technician I,MA,05-06-89,F,Single
"Exantus, Susan",10290,1,0,4,4,0,99280,1,24,Software Engineer,MA,05/15/87,F,Married
"Faller, Megan ",10263,1,0,1,5,0,71776,0,20,Production Technician II,MA,09/22/78,F,Married
"Fancett, Nicole",10136,0,0,1,5,0,65902,0,20,Production Technician II,MA,09/27/87,F,Single
"Ferguson, Susan",10189,1,0,5,5,0,57748,1,19,Production Technician I,MA,04/14/55,F,Married
"Fernandes, Nilson  ",10308,1,1,1,5,0,64057,0,19,Production Technician I,MA,10/18/89,M ,Married
"Fett, Boba",10309,0,1,1,3,0,53366,0,15,Network Engineer,MA,06/18/87,M ,Single
"Fidelia,  Libby",10049,1,0,1,5,0,58530,0,19,Production Technician I,MA,03/16/81,F,Married
"Fitzpatrick, Michael  J",10093,0,1,5,5,0,72609,1,20,Production Technician II,MA,10-01-81,M ,Single
"Foreman, Tanya",10163,1,0,5,5,0,55965,1,20,Production Technician II,MA,11-08-83,F,Married
"Forrest, Alex",10305,1,1,1,6,0,70187,1,3,Area Sales Manager,MA,07-07-75,M ,Married
"Foss, Jason",10015,0,1,1,3,0,178000,0,12,IT Director,MA,07-05-80,M ,Single
"Foster-Baker, Amy",10080,1,0,1,1,0,99351,0,26,Sr. Accountant,MA,04/16/79,F,Married
"Fraval, Maruk ",10258,0,1,1,6,0,67251,0,3,Area Sales Manager,CT,08/28/63,M ,Single
"Galia, Lisa",10273,0,0,1,3,0,65707,0,14,IT Support,CT,07-06-68,F,Single
"Garcia, Raul",10111,0,1,1,5,0,52249,0,19,Production Technician I,MA,09/15/85,M ,Single
"Gaul, Barbara",10257,0,0,1,5,0,53171,0,19,Production Technician I,MA,12-02-83,F,Single
"Gentry, Mildred",10159,1,0,1,5,0,51337,0,19,Production Technician I,MA,10-01-90,F,Married
"Gerke, Melisa",10122,0,0,5,5,1,51505,1,19,Production Technician I,MA,05/15/70,F,Divorced
"Gill, Whitney  ",10142,0,0,4,6,0,59370,1,3,Area Sales Manager,OH,07-10-71,F,Widowed
"Gilles, Alex",10283,1,1,5,5,1,54933,1,19,Production Technician I,MA,08-09-74,M ,Married
"Girifalco, Evelyn",10018,0,0,1,5,0,57815,0,19,Production Technician I,MA,05-08-80,F,Single
"Givens, Myriam",10255,0,0,1,6,0,61555,0,3,Area Sales Manager,IN,09/22/89,F,Single
"Goble, Taisha",10246,0,0,4,3,0,114800,1,8,Database Administrator,MA,10/23/71,F,Single
"Goeth, Amon",10228,1,1,1,3,0,74679,0,14,IT Support,MA,11/24/89,M ,Married
"Gold, Shenice  ",10243,0,0,1,5,0,53018,0,19,Production Technician I,MA,06/18/92,F,Single
"Gonzalez, Cayo",10031,0,1,1,5,1,59892,0,19,Production Technician I,MA,09/29/69,M ,Divorced
"Gonzalez, Juan",10300,1,1,5,5,1,68898,1,20,Production Technician II,MA,10-12-64,M ,Married
"Gonzalez, Maria",10101,0,0,1,3,0,61242,0,14,IT Support,MA,04/16/81,F,Separated
"Good, Susan",10237,1,0,3,5,0,66825,0,20,Production Technician II,MA,05/25/86,F,Married
"Gordon, David",10051,1,1,1,5,0,48285,0,19,Production Technician I,MA,05/21/79,M ,Married
"Gosciminski, Phylicia  ",10218,0,0,3,5,0,66149,0,20,Production Technician II,MA,12-08-83,F,Separated
"Goyal, Roxana",10256,1,0,3,5,0,49256,0,19,Production Technician I,MA,10-09-74,F,Married
"Gray, Elijiah  ",10098,0,1,1,5,0,62957,0,18,Production Manager,MA,07-11-81,M ,Divorced
"Gross, Paula",10059,0,0,5,5,0,63813,1,19,Production Technician I,MA,05/21/83,F,Divorced
"Gruber, Hans",10234,1,1,1,3,0,99020,0,4,BI Developer,MA,06/30/89,M ,Married
"Guilianno, Mike",10109,0,1,5,6,0,71707,1,3,Area Sales Manager,TN,02-09-69,M ,Single
"Handschiegl, Joanne",10125,1,0,1,5,0,54828,0,19,Production Technician I,MA,03/23/77,F,Married
"Hankard, Earnest",10074,0,1,1,5,0,64246,0,20,Production Technician II,MA,08-10-88,M ,Single
"Harrington, Christie ",10097,0,0,5,5,0,52177,1,19,Production Technician I,MA,08/18/52,F,Single
"Harrison, Kara",10007,1,0,1,5,0,62065,0,19,Production Technician I,MA,05-02-74,F,Married
"Heitzman, Anthony",10129,0,1,1,5,0,46998,0,19,Production Technician I,MA,01-04-84,M ,Single
"Hendrickson, Trina",10075,0,0,5,5,0,68099,1,20,Production Technician II,MA,08/27/72,F,Single
"Hitchcock, Alfred",10167,1,1,1,6,0,70545,0,3,Area Sales Manager,NH,09/14/88,M ,Married
"Homberger, Adrienne  J",10195,1,0,5,5,0,63478,1,20,Production Technician II,MA,02/16/84,F,Married
"Horton, Jayne",10112,0,0,1,3,0,97999,0,8,Database Administrator,MA,02/21/84,F,Single
"Houlihan, Debra",10272,1,0,1,6,0,180000,0,11,Director of Sales,RI,03/17/66,F,Married
"Howard, Estelle",10182,1,0,1,1,0,49920,1,2,Administrative Assistant,MA,09/16/85,F,Married
"Hudson, Jane",10248,0,0,1,5,0,55425,0,19,Production Technician I,MA,06-10-86,F,Single
"Hunts, Julissa",10201,0,0,2,5,0,69340,0,20,Production Technician II,MA,03-11-84,F,Single
"Hutter, Rosalie",10214,0,0,2,5,0,64995,0,20,Production Technician II,MA,05-07-92,F,Separated
"Huynh, Ming",10160,0,0,5,5,0,68182,1,20,Production Technician II,MA,09/22/76,F,Divorced
"Immediato, Walter",10289,1,1,5,5,0,83082,1,18,Production Manager,MA,11/15/76,M ,Married
"Ivey, Rose ",10139,0,0,1,5,0,51908,0,19,Production Technician I,MA,01/28/91,F,Single
"Jackson, Maryellen",10227,0,0,1,5,0,61242,0,19,Production Technician I,MA,09-11-72,F,Single
"Jacobi, Hannah  ",10236,0,0,1,5,0,45069,0,19,Production Technician I,MA,03/22/66,F,Divorced
"Jeannite, Tayana",10009,0,0,1,5,0,60724,0,20,Production Technician II,MA,11-06-86,F,Divorced
"Jhaveri, Sneha  ",10060,0,0,1,5,0,60436,0,19,Production Technician I,MA,04/13/64,F,Separated
"Johnson, George",10034,1,1,5,5,0,46837,1,19,Production Technician I,MA,08/19/59,M ,Married
"Johnson, Noelle ",10156,1,0,3,3,0,105700,0,8,Database Administrator,MA,11-07-86,F,Married
"Johnston, Yen",10036,0,0,1,5,0,63322,0,20,Production Technician II,MA,09-08-69,F,Single
"Jung, Judy  ",10138,1,0,5,5,0,61154,1,19,Production Technician I,MA,04/17/86,F,Married
"Kampew, Donysha",10244,0,0,5,6,0,68999,1,21,Sales Manager,PA,11-11-89,F,Single
"Keatts, Kramer ",10192,0,1,1,5,0,50482,0,19,Production Technician I,MA,01/19/76,M ,Single
"Khemmich, Bartholemew",10231,0,1,1,6,0,65310,0,3,Area Sales Manager,CO,11/27/79,M ,Single
"King, Janet",10089,1,0,1,2,0,250000,0,16,President & CEO,MA,09/21/54,F,Married
"Kinsella, Kathleen  ",10166,1,0,5,5,0,54005,1,19,Production Technician I,MA,12-08-73,F,Married
"Kirill, Alexandra  ",10170,1,0,5,5,0,45433,1,19,Production Technician I,MA,10-08-70,F,Married
"Knapp, Bradley  J",10208,0,1,1,5,0,46654,0,19,Production Technician I,MA,11-10-77,M ,Single
"Kretschmer, John",10176,1,1,1,5,0,63973,0,19,Production Technician I,MA,02-02-80,M ,Married
"Kreuger, Freddy",10165,0,1,1,6,1,71339,0,3,Area Sales Manager,NY,02/24/69,M ,Single
"Lajiri,  Jyoti",10113,1,1,3,3,0,93206,0,28,Sr. Network Engineer,MA,04/23/86,M ,Married
"Landa, Hans",10092,1,1,4,5,0,82758,1,18,Production Manager,MA,07-01-72,M ,Married
"Langford, Lindsey",10106,0,0,5,5,0,66074,1,20,Production Technician II,MA,07/25/79,F,Divorced
"Langton, Enrico",10052,1,1,1,5,0,46120,0,19,Production Technician I,MA,12-09-86,M ,Married
"LaRotonda, William  ",10038,0,1,1,1,0,64520,0,1,Accountant I,MA,04/26/84,M ,Divorced
"Latif, Mohammed",10249,1,1,5,5,0,61962,1,20,Production Technician II,MA,05-09-84,M ,Married
"Le, Binh",10232,0,0,1,3,0,81584,0,22,Senior BI Developer,MA,06/14/87,F,Single
"Leach, Dallas",10087,0,0,5,5,0,63676,1,19,Production Technician I,MA,01/17/79,F,Single
"LeBlanc, Brandon  R",10134,1,1,1,1,0,93046,0,23,Shared Services Manager,MA,06-10-84,M ,Married
"Lecter, Hannibal",10251,1,1,1,5,0,64738,0,19,Production Technician I,MA,09-02-82,M ,Married
"Leruth, Giovanni",10103,0,1,1,6,0,70468,0,3,Area Sales Manager,UT,12/27/88,M ,Separated
"Liebig, Ketsia",10017,1,0,1,5,0,77915,0,18,Production Manager,MA,10/26/81,F,Married
"Linares, Marilyn ",10186,1,0,5,5,0,52624,1,19,Production Technician I,MA,03/26/81,F,Married
"Linden, Mathew",10137,1,1,3,5,0,63450,0,20,Production Technician II,MA,03/19/79,M ,Married
"Lindsay, Leonara ",10008,0,0,1,3,1,51777,0,14,IT Support,CT,10-05-88,F,Single
"Lundy, Susan",10096,0,0,5,5,0,67237,1,20,Production Technician II,MA,12/26/76,F,Widowed
"Lunquist, Lisa",10035,0,0,1,5,0,73330,0,20,Production Technician II,MA,03/28/82,F,Single
"Lydon, Allison",10057,1,0,3,5,0,52057,0,19,Production Technician I,MA,10/22/75,F,Married
"Lynch, Lindsay",10004,0,0,5,5,1,47434,1,19,Production Technician I,MA,02/14/73,F,Single
"MacLennan, Samuel",10191,0,1,5,5,0,52788,1,19,Production Technician I,MA,11-09-72,M ,Widowed
"Mahoney, Lauren  ",10219,0,0,1,5,0,45395,0,19,Production Technician I,MA,07-07-86,F,Single
"Manchester, Robyn",10077,1,0,2,5,0,62385,0,20,Production Technician II,MA,08/25/76,F,Married
"Mancuso, Karen",10073,1,0,5,5,0,68407,1,20,Production Technician II,MA,12-10-86,F,Married
"Mangal, Debbie",10279,1,0,1,5,0,61349,0,19,Production Technician I,MA,11-07-74,F,Married
"Martin, Sandra",10110,0,0,1,4,0,105688,0,24,Software Engineer,MA,11-07-87,F,Single
"Maurice, Shana",10053,1,0,1,5,0,54132,0,19,Production Technician I,MA,11/22/77,F,Married
"Carthy, B'rigit",10076,0,0,1,5,0,55315,0,20,Production Technician II,MA,05/21/87,F,Single
"Mckenna, Sandy",10145,1,0,1,5,0,62810,0,19,Production Technician I,MA,01-07-87,F,Married
"McKinzie, Jac",10202,1,1,2,6,0,63291,0,3,Area Sales Manager,TX,07-01-84,M ,Married
"Meads, Elizabeth",10128,0,0,5,5,1,62659,1,19,Production Technician I,MA,05/30/68,F,Single
"Medeiros, Jennifer",10068,0,0,1,5,0,55688,0,19,Production Technician I,MA,09/22/76,F,Single
"Miller, Brannon",10116,0,1,1,5,0,83667,0,18,Production Manager,MA,08-10-81,M ,Single
"Miller, Ned",10298,0,1,5,5,0,55800,1,20,Production Technician II,MA,06/29/85,M ,Single
"Monkfish, Erasumus",10213,1,1,1,5,0,58207,0,20,Production Technician II,MA,08/17/92,M ,Married
"Monroe, Peter",10288,1,1,1,3,1,157000,0,13,IT Manager - Infra,MA,10-05-86,M ,Married
"Monterro, Luisa",10025,0,0,1,5,0,72460,0,20,Production Technician II,MA,04/24/70,F,Single
"Moran, Patrick",10223,0,1,3,5,1,72106,0,20,Production Technician II,MA,12-03-76,M ,Single
"Morway, Tanya",10151,1,0,1,3,0,52599,0,15,Network Engineer,MA,04-04-79,F,Married
"Motlagh,  Dawn",10254,0,0,1,5,0,63430,0,19,Production Technician I,MA,07-07-84,F,Divorced
"Moumanil, Maliki ",10120,0,1,1,5,0,74417,0,20,Production Technician II,MA,12-01-74,M ,Separated
"Myers, Michael",10216,0,1,1,5,0,57575,0,19,Production Technician I,MA,04/18/80,M ,Single
"Navathe, Kurt",10079,0,1,1,3,0,87921,0,22,Senior BI Developer,MA,04/25/70,M ,Single
"Ndzi, Colombui",10215,0,1,5,5,1,50470,1,19,Production Technician I,MA,05-02-89,M ,Single
"Ndzi, Horia",10185,1,1,5,5,0,46664,1,19,Production Technician I,MA,03/28/83,M ,Married
"Newman, Richard ",10063,1,1,3,5,0,48495,0,19,Production Technician I,MA,04-08-77,M ,Married
"Ngodup, Shari ",10037,0,0,1,5,1,52984,0,19,Production Technician I,MA,06-03-67,F,Separated
"Nguyen, Dheepa",10042,0,0,1,6,0,63695,0,3,Area Sales Manager,GA,03/31/89,F,Single
"Nguyen, Lei-Ming",10206,0,0,1,5,0,62061,0,19,Production Technician I,MA,07-07-84,F,Single
"Nowlan, Kristie",10104,0,0,1,5,0,66738,0,20,Production Technician II,MA,11/23/85,F,Single
"O'hare, Lynn",10303,0,0,4,5,0,52674,1,19,Production Technician I,MA,09/30/80,F,Single
"Oliver, Brooke ",10078,1,0,5,5,0,71966,1,20,Production Technician II,MA,02-11-52,F,Married
"Onque, Jasmine",10121,0,0,1,6,0,63051,0,3,Area Sales Manager,FL,05-11-90,F,Single
"Osturnka, Adeel",10021,1,1,1,5,0,47414,0,19,Production Technician I,MA,12-11-76,M ,Married
"Owad, Clinton",10281,0,1,1,5,0,53060,0,19,Production Technician I,MA,11/24/79,M ,Single
"Ozark, Travis",10041,0,1,1,6,0,68829,0,3,Area Sales Manager,NC,05/19/82,M ,Single
"Panjwani, Nina",10148,1,0,5,5,0,63515,1,19,Production Technician I,MA,05-01-79,F,Married
"Patronick, Lucas",10005,0,1,5,4,1,108987,1,24,Software Engineer,MA,02/20/79,M ,Single
"Pearson, Randall",10259,1,1,5,3,0,93093,1,9,Data Analyst,MA,09-05-84,M ,Married
"Smith, Martin",10286,0,1,5,5,0,53564,1,19,Production Technician I,MA,03/17/88,M ,Single
"Pelletier, Ermine",10297,1,0,5,5,0,60270,1,20,Production Technician II,MA,07/18/89,F,Married
"Perry, Shakira",10171,0,0,5,5,0,45998,1,19,Production Technician I,MA,07/20/86,F,Single
"Peters, Lauren",10032,1,0,5,5,0,57954,1,20,Production Technician II,MA,08/17/86,F,Married
"Peterson, Ebonee  ",10130,1,0,5,5,0,74669,1,18,Production Manager,MA,05-09-77,F,Married
"Petingill, Shana  ",10217,1,0,1,5,0,74226,0,20,Production Technician II,MA,03-10-79,F,Married
"Petrowsky, Thelma",10016,1,0,1,3,0,93554,0,9,Data Analyst,MA,09/16/84,F,Married
"Pham, Hong",10050,1,1,5,5,0,64724,1,19,Production Technician I,MA,03-06-88,M ,Married
"Pitt, Brad ",10164,0,1,1,5,0,47001,0,19,Production Technician I,MA,11/23/81,M ,Single
"Potts, Xana",10124,1,0,1,6,0,61844,0,3,Area Sales Manager,KY,08/29/88,F,Married
"Power, Morissa",10187,0,0,5,5,0,46799,1,19,Production Technician I,MA,10/15/84,F,Divorced
"Punjabhi, Louis  ",10225,0,1,1,5,0,59472,0,19,Production Technician I,MA,06/19/61,M ,Single
"Purinton, Janine",10262,0,0,5,5,0,46430,1,19,Production Technician I,MA,09/22/70,F,Divorced
"Quinn, Sean",10131,1,1,5,1,1,83363,1,23,Software Engineer,MA,11-06-84,M ,Married
"Rachael, Maggie",10239,1,0,1,3,0,95920,0,4,BI Developer,MA,05-12-80,F,Married
"Rarrick, Quinn",10152,0,1,5,5,0,61729,1,19,Production Technician I,MA,12/31/84,M ,Divorced
"Ren, Kylo",10140,1,1,1,6,0,61809,0,3,Area Sales Manager,ID,10-12-54,M ,Married
"Rhoads, Thomas",10058,0,1,5,5,0,45115,1,19,Production Technician I,MA,07/22/82,M ,Divorced
"Rivera, Haley  ",10011,1,0,1,5,0,46738,0,19,Production Technician I,MA,01-12-73,F,Married
"Roberson, May",10230,0,0,5,5,0,64971,1,20,Production Technician II,MA,09-05-81,F,Divorced
"Robertson, Peter",10224,1,1,5,5,0,55578,1,20,Production Technician II,MA,07-03-72,M ,Married
"Robinson, Alain  ",10047,1,1,5,5,0,50428,1,19,Production Technician I,MA,01-07-74,M ,Married
"Robinson, Cherly",10285,1,0,4,5,0,61422,1,19,Production Technician I,MA,01-07-85,F,Married
"Robinson, Elias",10020,0,1,1,5,0,63353,0,19,Production Technician I,MA,01/28/85,M ,Widowed
"Roby, Lori ",10162,1,0,1,3,0,89883,0,9,Data Analyst,MA,10-11-81,F,Married
"Roehrich, Bianca",10149,0,0,5,3,0,120000,1,29,Principal Data Architect,MA,05/27/73,F,Single
"Roper, Katie",10086,0,0,1,3,0,150290,0,7,Data Architect,MA,11/21/72,F,Single
"Rose, Ashley  ",10054,0,0,1,5,0,60627,0,19,Production Technician I,MA,12-05-74,F,Separated
"Rossetti, Bruno",10065,0,1,5,5,0,53180,1,19,Production Technician I,MA,03/18/87,M ,Single
"Roup,Simon",10198,0,1,1,3,0,140920,0,13,IT Manager - DB,MA,04-05-73,M ,Single
"Ruiz, Ricardo",10222,0,1,5,3,1,148999,1,13,IT Manager - DB,MA,01-04-64,M ,Divorced
"Saada, Adell",10126,1,0,1,4,0,86214,0,24,Software Engineer,MA,07/24/86,F,Married
"Saar-Beckles, Melinda",10295,0,0,2,5,1,47750,0,19,Production Technician I,MA,06-06-68,F,Single
"Sadki, Nore  ",10260,0,1,5,5,0,46428,1,19,Production Technician I,MA,12/21/74,M ,Single
"Sahoo, Adil",10233,1,1,1,5,0,57975,0,20,Production Technician II,MA,04/26/86,M ,Married
"Salter, Jason",10229,0,1,5,3,0,88527,1,9,Data Analyst ,MA,12/17/87,M ,Divorced
"Sander, Kamrin",10169,1,0,1,5,0,56147,0,19,Production Technician I,MA,07-10-88,F,Married
"Sewkumar, Nori",10071,0,0,3,5,0,50923,0,19,Production Technician I,MA,03-10-75,F,Single
"Shepard, Anita ",10179,1,0,1,3,0,50750,0,15,Network Engineer,MA,04/14/81,F,Married
"Shields, Seffi",10091,1,0,1,5,0,52087,0,19,Production Technician I,MA,08/24/85,F,Married
"Simard, Kramer",10178,1,1,1,3,0,87826,0,9,Data Analyst,MA,02-08-70,M ,Married
"Singh, Nan ",10039,0,0,1,1,0,51920,0,2,Administrative Assistant,MA,05/19/88,F,Single
"Sloan, Constance",10095,0,0,5,5,0,63878,1,20,Production Technician II,MA,11/25/87,F,Single
"Smith, Joe",10027,0,1,1,5,0,60656,0,20,Production Technician II,MA,10/30/63,M ,Single
"Smith, John",10291,0,1,1,6,1,72992,0,21,Sales Manager,MA,08/16/84,M ,Divorced
"Smith, Leigh Ann",10153,1,0,5,1,1,55000,1,2,Administrative Assistant,MA,06/14/87,F,Married
